2026-05-22 21:16:13,143 WARNING [__main__] Using in-memory storage. Reminders will be lost on restart.
2026-05-22 21:16:13,947 INFO [__main__] Starting Telegram reminder bot
2026-05-22 21:16:14,683 INFO [apscheduler.scheduler] Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-05-22 21:16:14,685 INFO [apscheduler.scheduler] Added job "ReminderScheduler.dispatch_due_reminders" to job store "default"
2026-05-22 21:16:14,685 INFO [apscheduler.scheduler] Scheduler started
2026-05-22 21:16:14,686 INFO [app.scheduler] Reminder scheduler started
2026-05-22 21:16:14,687 INFO [apscheduler.executors.default] Running job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:16:44 +07)" (scheduled at 2026-05-22 14:16:14.683797+00:00)
2026-05-22 21:16:14,687 INFO [apscheduler.executors.default] Job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:16:44 +07)" executed successfully
2026-05-22 21:16:14,916 INFO [apscheduler.scheduler] Scheduler started
2026-05-22 21:16:14,917 INFO [telegram.ext.Application] Application started
2026-05-22 21:16:44,692 INFO [apscheduler.executors.default] Running job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:17:14 +07)" (scheduled at 2026-05-22 21:16:44.683797+07:00)
2026-05-22 21:16:44,694 INFO [apscheduler.executors.default] Job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:17:14 +07)" executed successfully
2026-05-22 21:17:14,687 INFO [apscheduler.executors.default] Running job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:17:44 +07)" (scheduled at 2026-05-22 21:17:14.683797+07:00)
2026-05-22 21:17:14,689 INFO [apscheduler.executors.default] Job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:17:44 +07)" executed successfully
2026-05-22 21:17:44,690 INFO [apscheduler.executors.default] Running job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:18:14 +07)" (scheduled at 2026-05-22 21:17:44.683797+07:00)
2026-05-22 21:17:44,693 INFO [apscheduler.executors.default] Job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:18:14 +07)" executed successfully
2026-05-22 21:18:14,697 INFO [apscheduler.executors.default] Running job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:18:44 +07)" (scheduled at 2026-05-22 21:18:14.683797+07:00)
2026-05-22 21:18:14,698 INFO [apscheduler.executors.default] Job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:18:44 +07)" executed successfully
2026-05-22 21:18:44,687 INFO [apscheduler.executors.default] Running job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:19:14 +07)" (scheduled at 2026-05-22 21:18:44.683797+07:00)
2026-05-22 21:18:44,689 INFO [apscheduler.executors.default] Job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:19:14 +07)" executed successfully
